Line #,Name,Description,Designator,Revision ID,Revision State,Revision Status,Quantity,Manufacturer 1,Manufacturer Part Number 1,Manufacturer Lifecycle 1,Supplier 1,Supplier Part Number 1,Supplier Unit Price 1,Supplier Subtotal 1
"","DRV8811PWP","1.9 A Bipolar Stepper Motor Driver with On-Chip 1 / 8 Microstepping Indexer (Step / Dir Ctrl), -40 to 85 degC, 28-pin HTSSOP (PWP), Green (RoHS & no Sb/Br)","U500","CMP-1556-00004-2","Released","Up to date","1","Texas Instruments","DRV8811PWP","Volume Production","Arrow Electronics","DRV8811PWP","5.32","5.32"
"","EEEFK1C101P","Aluminum Electrolytic Capacitor, 100 uF, 20%, 16 V, -55 to 105 degC, 2-Pin SMD, RoHS, Tape and Reel","C502","CMP-2000-06203-1","Released","Up to date","1","Panasonic","EEEFK1C101P","Unknown","Digi-Key","PCE3783CT-ND","0.51","0.51"
"","ERA6AEB101V","","R502, R503, R504, R506, R507, R508, R509, R512, R513, R601, R702, R703, R704, R705","CMP-2001-00580-1","Released","Up to date","14","Panasonic","ERA-6AEB101V","Volume Production","Mouser","667-ERA-6AEB101V","0.299","4.19"
"","ERA6AEB111V","","R301","CMP-2001-00585-1","Released","Up to date","1","Panasonic","ERA-6AEB111V","Volume Production","Farnell","1670214","0.2111","2.11"
"","ERA6AEB151V","","R401","CMP-2001-00596-1","Released","Up to date","1","Panasonic","ERA-6AEB151V","Volume Production","Avnet","08N2149","0.063","0.063"
"","ERA8AEB151V","","R400, R517","CMP-2003-04422-1","Released","Up to date","2","Panasonic","ERA-8AEB151V","Not Recommended for New Design","Arrow Electronics","ERA-8AEB151V","0.6516","1.3"
"","ERJ8ENF3900V","","R305, R307","CMP-1014-00463-2","Released","Up to date","2","Vishay","CRCW1206390RFKEA","Volume Production","Newark","53K2341","0.004","0.008"
"","ERJ-6GEYJ473V","","R500, R501","CMP-2001-00421-1","Released","Up to date","2","Panasonic","ERJ-6GEYJ473V","Volume Production","Newark","65T8828","0.008","0.016"
"","ERJ-14NF2800U","","R600","CMP-2005-03252-1","Released","Up to date","1","Panasonic","ERJ-14NF2800U","Volume Production","Arrow Electronics","ERJ-14NF2800U","0.0711","0.0711"
"","ESR10EZPF1101","1.1kO ±1% 0.4W 0805 Anti-Surge Chip Resistor AEC-Q200","R303","CMP-08839-007508-1","New From Design","Up to date","1","Rohm","ESR10EZPF1101","Unknown","Digi-Key","RHM1.10KAECT-ND","0.21","0.21"
"","FSM4JSMA","Swicth, SPST, 24 V, -35 to 85 degC, 4-Pin SMD, RoHS, Tape and Reel","SW200, SW201","CMP-2000-05602-2","Released","Up to date","2","TE Connectivity","FSM4JSMA","Volume Production","Newark","93K3887","0.064","0.128"
"","FT231XS-U","USB to Full-Handshake UART Interface Chip, UHCI/OHCI/EHCI Compatible, USB 2.0 Compatible, -40 to +85 degC, 20-Pin SSOP, Pb-Free, Tube","U700","CMP-0248-00015-2","Released","Up to date","1","FTDI","FT231XS-U","Volume Production","Digi-Key","768-1156-5-ND","2.34","2.34"
"","GRM21BR60J226ME39L","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 22uF, X5R, 15%, 20%, 6.3V","C300, C400, C600","CMP-2007-03385-2","New From Design","Up to date","3","Murata","GRM21BR60J226ME39L","Volume Production","Newark","03AC2714","0.054","0.162"
"","GRM2195C1H912JA01D","Chip Multilayer Ceramic Capacitors for General Purpose, 0805, 9100pF, C0G, 30ppm/°C, 5%, 50V","C802","CMP-2007-00147-2","New From Design","Up to date","1","Murata","GRM2195C1H912JA01D","Volume Production","Arrow Electronics","GRM2195C1H912JA01D","0.2123","0.2123"
"","JS202011SCQN","SWITCH SLIDE DPDT 300MA 6V","SW300, SW400, SW500, SW600","CMP-2000-05087-3","Released","Up to date","4","ITT C&K","JS202011SCQN","Unknown","Newark","95W3256","0.512","2.05"
"","LM338T","5 Amp Adjustable Regulator, 3-pin TO-220","U300","CMP-0062-02475-3","Released","Up to date","1","TI National Semiconductor","LM338T","Not Recommended for New Design","Digi-Key","LM338T-ND","3.08","3.08"
"","MCP112T-300E/TT","1.75Î¼A Micropower Voltage Detector, Push-Pull Output, 2.93V, 3-Pin SOT-23, Extended Temperature, Tape and Reel","U304","CMP-0130-00043-1","Released","Up to date","1","Microchip","MCP112T-300E/TT","Volume Production","Mouser","579-MCP112T-300E/TT","0.64","0.64"
"","MCP809T-450I/TT","Microcontroller Supervisory Circuit with Push-Pull Output, 3-Pin SOT-23, Industrial Temperature, Tape and Reel","U303","CMP-0138-00383-1","Released","Up to date","1","Microchip","MCP809T-450I/TT","Volume Production","Arrow Electronics","MCP809T-450I/TT","0.5983","0.5983"
"","R82DC4100DQ60J","CAP FILM 1UF 5% 63VDC RADIAL","C403, C404","CMP-03022-000017-1","New From Design","Up to date","2","KEMET","R82DC4100DQ60J","Volume Production","Newark","94M8808","0.188","0.376"
"","RC0805FR-0710KL","Chip Resistor, 10 KOhm, +/- 1%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R201, R203, R204","CMP-1659-00013-4","Released","Up to date","3","Yageo","RC0805FR-0710KL","Volume Production","Newark","85X1799","0.004","0.012"
"","RC0805FR-07100KL","RES 100K OHM 1% 1/8W 0805","R403, R407","CMP-2100-03668-5","Released","Up to date","2","Yageo","RC0805FR-07100KL","Volume Production","Newark","45Y6904","0.004","0.008"
"","RC0805FR-07330RL","Chip Resistor, 330 Ohm, +/- 1%, 125 mW, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R200, R202","CMP-2000-06960-1","Released","Up to date","2","Yageo","RC0805FR-07330RL","Volume Production","Digi-Key","311-330CRCT-ND","0.1","0.2"
"","RC0805JR-0710KL","Chip Resistor, 10 KOhm, +/- 5%, 0.125 W, -55 to 155 degC, 0805 (2012 Metric), RoHS, Tape and Reel","R306, R402, R405, R406, R505, R511, R514, R515","CMP-2000-05025-1","Released","Up to date","8","Yageo","RC0805JR-0710KL","Volume Production","Digi-Key","311-10KARCT-ND","0.023","0.23"
"","RL1220S-R10-F","","R510, R516","CMP-2001-03150-1","Released","Up to date","2","Susumu","RL1220S-R10-F","Volume Production","Digi-Key","RL12S.10FCT-ND","0.29","0.58"
"","SN74AHC1G08DBV3","IC GATE AND 1CH 2-INP SOT23-5","U200, U201","CMP-04903-000082-1","New From Design","Up to date","2","Texas Instruments","SN74AHC1G08DBV3","Volume Production","Digi-Key","296-SN74AHC1G08DBV3CT-ND","0.53","1.06"
"","TLV1117LV33DCYT","Single Output LDO, 1 A, Fixed 3.3 V Output, 2 to 5.5 V Input, 4-pin SOT-223 (DCY), -40 to 125 degC, Green (RoHS & no Sb/Br)","U302","CMP-0395-00499-2","Released","Up to date","1","Texas Instruments","TLV1117LV33DCYT","Volume Production","Digi-Key","296-35976-1-ND","0.91","0.91"
